
Note: No compatibility mode selected!


Circuit: * ifa 77g testbench - ihp sg13g2 pdk

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 301
                      * ifa 77g testbench - ihp sg13g2 pdk
                      AC Analysis  Mon Aug  3 23:37:37  2026
--------------------------------------------------------------------------------
Index   frequency       outp                            
--------------------------------------------------------------------------------
200	1.000000e+08	2.080828e-01,	-4.24755e-03	
201	1.023293e+08	2.081401e-01,	-4.68582e-03	
202	1.047129e+08	2.081923e-01,	-5.12838e-03	
203	1.071519e+08	2.082395e-01,	-5.57533e-03	
204	1.096478e+08	2.082818e-01,	-6.02680e-03	
205	1.122018e+08	2.083192e-01,	-6.48291e-03	
206	1.148154e+08	2.083518e-01,	-6.94378e-03	
207	1.174898e+08	2.083794e-01,	-7.40954e-03	
208	1.202264e+08	2.084023e-01,	-7.88034e-03	
209	1.230269e+08	2.084203e-01,	-8.35633e-03	
210	1.258925e+08	2.084335e-01,	-8.83766e-03	
211	1.288250e+08	2.084419e-01,	-9.32449e-03	
212	1.318257e+08	2.084454e-01,	-9.81698e-03	
213	1.348963e+08	2.084441e-01,	-1.03153e-02	
214	1.380384e+08	2.084380e-01,	-1.08196e-02	
215	1.412538e+08	2.084269e-01,	-1.13302e-02	
216	1.445440e+08	2.084109e-01,	-1.18471e-02	
217	1.479108e+08	2.083899e-01,	-1.23706e-02	
218	1.513561e+08	2.083638e-01,	-1.29008e-02	
219	1.548817e+08	2.083327e-01,	-1.34380e-02	
220	1.584893e+08	2.082963e-01,	-1.39824e-02	
221	1.621810e+08	2.082547e-01,	-1.45342e-02	
222	1.659587e+08	2.082077e-01,	-1.50935e-02	
223	1.698244e+08	2.081552e-01,	-1.56606e-02	
224	1.737801e+08	2.080972e-01,	-1.62357e-02	
225	1.778279e+08	2.080334e-01,	-1.68191e-02	
226	1.819701e+08	2.079639e-01,	-1.74109e-02	
227	1.862087e+08	2.078883e-01,	-1.80114e-02	
228	1.905461e+08	2.078066e-01,	-1.86207e-02	

Index   frequency       outp                            
--------------------------------------------------------------------------------
229	1.949845e+08	2.077186e-01,	-1.92392e-02	
230	1.995262e+08	2.076241e-01,	-1.98671e-02	
231	2.041738e+08	2.075230e-01,	-2.05045e-02	
232	2.089296e+08	2.074150e-01,	-2.11517e-02	
233	2.137962e+08	2.072999e-01,	-2.18090e-02	
234	2.187762e+08	2.071775e-01,	-2.24766e-02	
235	2.238721e+08	2.070476e-01,	-2.31546e-02	
236	2.290868e+08	2.069099e-01,	-2.38434e-02	
237	2.344229e+08	2.067642e-01,	-2.45431e-02	
238	2.398833e+08	2.066101e-01,	-2.52541e-02	
239	2.454709e+08	2.064475e-01,	-2.59764e-02	
240	2.511886e+08	2.062758e-01,	-2.67104e-02	
241	2.570396e+08	2.060950e-01,	-2.74562e-02	
242	2.630268e+08	2.059045e-01,	-2.82141e-02	
243	2.691535e+08	2.057042e-01,	-2.89843e-02	
244	2.754229e+08	2.054935e-01,	-2.97670e-02	
245	2.818383e+08	2.052721e-01,	-3.05624e-02	
246	2.884032e+08	2.050397e-01,	-3.13707e-02	
247	2.951209e+08	2.047957e-01,	-3.21920e-02	
248	3.019952e+08	2.045398e-01,	-3.30266e-02	
249	3.090295e+08	2.042716e-01,	-3.38746e-02	
250	3.162278e+08	2.039904e-01,	-3.47363e-02	
251	3.235937e+08	2.036959e-01,	-3.56116e-02	
252	3.311311e+08	2.033876e-01,	-3.65009e-02	
253	3.388442e+08	2.030648e-01,	-3.74042e-02	
254	3.467369e+08	2.027272e-01,	-3.83216e-02	
255	3.548134e+08	2.023740e-01,	-3.92532e-02	
256	3.630781e+08	2.020048e-01,	-4.01992e-02	
257	3.715352e+08	2.016189e-01,	-4.11595e-02	
258	3.801894e+08	2.012157e-01,	-4.21343e-02	
259	3.890451e+08	2.007946e-01,	-4.31235e-02	
260	3.981072e+08	2.003548e-01,	-4.41272e-02	
261	4.073803e+08	1.998958e-01,	-4.51454e-02	
262	4.168694e+08	1.994169e-01,	-4.61779e-02	
263	4.265795e+08	1.989172e-01,	-4.72249e-02	
264	4.365158e+08	1.983961e-01,	-4.82860e-02	
265	4.466836e+08	1.978529e-01,	-4.93613e-02	
266	4.570882e+08	1.972867e-01,	-5.04506e-02	
267	4.677351e+08	1.966968e-01,	-5.15536e-02	
268	4.786301e+08	1.960824e-01,	-5.26702e-02	
269	4.897788e+08	1.954426e-01,	-5.38001e-02	
270	5.011872e+08	1.947767e-01,	-5.49430e-02	
271	5.128614e+08	1.940838e-01,	-5.60986e-02	
272	5.248075e+08	1.933630e-01,	-5.72664e-02	
273	5.370318e+08	1.926135e-01,	-5.84461e-02	
