 8.13065327e+10 -4.78416169e+01  8.13065327e+10 -4.50692902e-01 
 8.15075377e+10 -4.79602776e+01  8.15075377e+10 -4.50996142e-01 
 8.17085427e+10 -4.80789379e+01  8.17085427e+10 -4.51300594e-01 
 8.19095477e+10 -4.81975978e+01  8.19095477e+10 -4.51606260e-01 
 8.21105528e+10 -4.83162574e+01  8.21105528e+10 -4.51913139e-01 
 8.23115578e+10 -4.84349166e+01  8.23115578e+10 -4.52221232e-01 
 8.25125628e+10 -4.85535754e+01  8.25125628e+10 -4.52530538e-01 
 8.27135678e+10 -4.86722337e+01  8.27135678e+10 -4.52841057e-01 
 8.29145729e+10 -4.87908915e+01  8.29145729e+10 -4.53152789e-01 
 8.31155779e+10 -4.89095487e+01  8.31155779e+10 -4.53465734e-01 
 8.33165829e+10 -4.90282054e+01  8.33165829e+10 -4.53779892e-01 
 8.35175879e+10 -4.91468615e+01  8.35175879e+10 -4.54095262e-01 
 8.37185930e+10 -4.92655170e+01  8.37185930e+10 -4.54411845e-01 
 8.39195980e+10 -4.93841718e+01  8.39195980e+10 -4.54729640e-01 
 8.41206030e+10 -4.95028259e+01  8.41206030e+10 -4.55048647e-01 
 8.43216080e+10 -4.96214793e+01  8.43216080e+10 -4.55368865e-01 
 8.45226131e+10 -4.97401319e+01  8.45226131e+10 -4.55690295e-01 
 8.47236181e+10 -4.98587837e+01  8.47236181e+10 -4.56012935e-01 
 8.49246231e+10 -4.99774348e+01  8.49246231e+10 -4.56336785e-01 
 8.51256281e+10 -5.00960849e+01  8.51256281e+10 -4.56661845e-01 
 8.53266332e+10 -5.02147342e+01  8.53266332e+10 -4.56988115e-01 
 8.55276382e+10 -5.03333825e+01  8.55276382e+10 -4.57315593e-01 
 8.57286432e+10 -5.04520299e+01  8.57286432e+10 -4.57644279e-01 
 8.59296482e+10 -5.05706763e+01  8.59296482e+10 -4.57974172e-01 
 8.61306533e+10 -5.06893217e+01  8.61306533e+10 -4.58305273e-01 
 8.63316583e+10 -5.08079660e+01  8.63316583e+10 -4.58637579e-01 
 8.65326633e+10 -5.09266093e+01  8.65326633e+10 -4.58971091e-01 
 8.67336683e+10 -5.10452514e+01  8.67336683e+10 -4.59305807e-01 
 8.69346734e+10 -5.11638924e+01  8.69346734e+10 -4.59641727e-01 
 8.71356784e+10 -5.12825322e+01  8.71356784e+10 -4.59978850e-01 
 8.73366834e+10 -5.14011707e+01  8.73366834e+10 -4.60317174e-01 
 8.75376884e+10 -5.15198080e+01  8.75376884e+10 -4.60656700e-01 
 8.77386935e+10 -5.16384440e+01  8.77386935e+10 -4.60997426e-01 
 8.79396985e+10 -5.17570787e+01  8.79396985e+10 -4.61339351e-01 
 8.81407035e+10 -5.18757121e+01  8.81407035e+10 -4.61682474e-01 
 8.83417085e+10 -5.19943440e+01  8.83417085e+10 -4.62026794e-01 
 8.85427136e+10 -5.21129745e+01  8.85427136e+10 -4.62372310e-01 
 8.87437186e+10 -5.22316036e+01  8.87437186e+10 -4.62719021e-01 
 8.89447236e+10 -5.23502312e+01  8.89447236e+10 -4.63066925e-01 
 8.91457286e+10 -5.24688572e+01  8.91457286e+10 -4.63416021e-01 
 8.93467337e+10 -5.25874817e+01  8.93467337e+10 -4.63766309e-01 
 8.95477387e+10 -5.27061046e+01  8.95477387e+10 -4.64117786e-01 
 8.97487437e+10 -5.28247259e+01  8.97487437e+10 -4.64470451e-01 
 8.99497487e+10 -5.29433455e+01  8.99497487e+10 -4.64824304e-01 
 9.01507538e+10 -5.30619634e+01  9.01507538e+10 -4.65179342e-01 
 9.03517588e+10 -5.31805796e+01  9.03517588e+10 -4.65535564e-01 
 9.05527638e+10 -5.32991940e+01  9.05527638e+10 -4.65892969e-01 
 9.07537688e+10 -5.34178066e+01  9.07537688e+10 -4.66251554e-01 
 9.09547739e+10 -5.35364174e+01  9.09547739e+10 -4.66611320e-01 
 9.11557789e+10 -5.36550264e+01  9.11557789e+10 -4.66972263e-01 
 9.13567839e+10 -5.37736334e+01  9.13567839e+10 -4.67334382e-01 
 9.15577889e+10 -5.38922385e+01  9.15577889e+10 -4.67697676e-01 
 9.17587940e+10 -5.40108416e+01  9.17587940e+10 -4.68062142e-01 
 9.19597990e+10 -5.41294427e+01  9.19597990e+10 -4.68427780e-01 
 9.21608040e+10 -5.42480418e+01  9.21608040e+10 -4.68794586e-01 
 9.23618090e+10 -5.43666388e+01  9.23618090e+10 -4.69162560e-01 
 9.25628141e+10 -5.44852337e+01  9.25628141e+10 -4.69531700e-01 
 9.27638191e+10 -5.46038264e+01  9.27638191e+10 -4.69902002e-01 
 9.29648241e+10 -5.47224170e+01  9.29648241e+10 -4.70273467e-01 
 9.31658291e+10 -5.48410054e+01  9.31658291e+10 -4.70646091e-01 
 9.33668342e+10 -5.49595915e+01  9.33668342e+10 -4.71019872e-01 
 9.35678392e+10 -5.50781754e+01  9.35678392e+10 -4.71394809e-01 
 9.37688442e+10 -5.51967569e+01  9.37688442e+10 -4.71770898e-01 
 9.39698492e+10 -5.53153361e+01  9.39698492e+10 -4.72148139e-01 
 9.41708543e+10 -5.54339129e+01  9.41708543e+10 -4.72526529e-01 
 9.43718593e+10 -5.55524872e+01  9.43718593e+10 -4.72906065e-01 
 9.45728643e+10 -5.56710592e+01  9.45728643e+10 -4.73286746e-01 
 9.47738693e+10 -5.57896286e+01  9.47738693e+10 -4.73668568e-01 
 9.49748744e+10 -5.59081955e+01  9.49748744e+10 -4.74051530e-01 
 9.51758794e+10 -5.60267599e+01  9.51758794e+10 -4.74435629e-01 
 9.53768844e+10 -5.61453217e+01  9.53768844e+10 -4.74820863e-01 
 9.55778894e+10 -5.62638808e+01  9.55778894e+10 -4.75207229e-01 
 9.57788945e+10 -5.63824373e+01  9.57788945e+10 -4.75594724e-01 
 9.59798995e+10 -5.65009911e+01  9.59798995e+10 -4.75983347e-01 
 9.61809045e+10 -5.66195421e+01  9.61809045e+10 -4.76373094e-01 
 9.63819095e+10 -5.67380904e+01  9.63819095e+10 -4.76763963e-01 
 9.65829146e+10 -5.68566359e+01  9.65829146e+10 -4.77155951e-01 
 9.67839196e+10 -5.69751786e+01  9.67839196e+10 -4.77549055e-01 
 9.69849246e+10 -5.70937184e+01  9.69849246e+10 -4.77943272e-01 
 9.71859296e+10 -5.72122552e+01  9.71859296e+10 -4.78338601e-01 
 9.73869347e+10 -5.73307892e+01  9.73869347e+10 -4.78735037e-01 
 9.75879397e+10 -5.74493202e+01  9.75879397e+10 -4.79132578e-01 
 9.77889447e+10 -5.75678481e+01  9.77889447e+10 -4.79531221e-01 
 9.79899497e+10 -5.76863731e+01  9.79899497e+10 -4.79930963e-01 
 9.81909548e+10 -5.78048949e+01  9.81909548e+10 -4.80331801e-01 
 9.83919598e+10 -5.79234137e+01  9.83919598e+10 -4.80733732e-01 
 9.85929648e+10 -5.80419293e+01  9.85929648e+10 -4.81136752e-01 
 9.87939698e+10 -5.81604417e+01  9.87939698e+10 -4.81540859e-01 
 9.89949749e+10 -5.82789509e+01  9.89949749e+10 -4.81946050e-01 
 9.91959799e+10 -5.83974569e+01  9.91959799e+10 -4.82352321e-01 
 9.93969849e+10 -5.85159596e+01  9.93969849e+10 -4.82759668e-01 
 9.95979899e+10 -5.86344590e+01  9.95979899e+10 -4.83168089e-01 
 9.97989950e+10 -5.87529550e+01  9.97989950e+10 -4.83577580e-01 
 1.00000000e+11 -5.88714476e+01  1.00000000e+11 -4.83988138e-01 
