# Logfile created on 2026-07-14 10:30:30 -0400 by logger.rb/61378
2026-07-14 10:30:30 -0400: Memory Usage (416548K) : nwell_pin has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (416548K) : nbulay_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (416812K) : nbulay_pin has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (416812K) : nbulay_block has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (416812K) : emwind_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (416812K) : emwind_opc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (416812K) : deepco_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417076K) : deepco_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417076K) : mim_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417076K) : edgeseal_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417076K) : edgeseal_bound has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417076K) : substrate_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417340K) : substrate_text has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417340K) : dfpad_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417340K) : dfpad_pillar has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417340K) : dfpad_sbump has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417340K) : thickgateox_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417604K) : pldb_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417604K) : pwell_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417604K) : pwell_pin has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417604K) : pwell_block has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417604K) : ic_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417868K) : via3_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417868K) : metal4_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417868K) : metal4_pin has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417868K) : metal4_mask has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (417868K) : metal4_filler has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418132K) : metal4_nofill has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418132K) : metal4_slit has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418132K) : metal4_text has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418132K) : metal4_opc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418132K) : metal4_noqrc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418396K) : metal4_res has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418396K) : metal4_iprobe has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418396K) : metal4_diffprb has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418396K) : heattrans_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418660K) : heatres_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418660K) : pempoly_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418660K) : fbe_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418660K) : empoly_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418660K) : ldmos_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418924K) : pbiwind_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418924K) : digisub_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418924K) : nodrc_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418924K) : text_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (418924K) : via4_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419188K) : metal5_drw has 3 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419188K) : metal5_pin has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419188K) : metal5_mask has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419188K) : metal5_filler has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419452K) : metal5_nofill has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419452K) : metal5_slit has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419452K) : metal5_text has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419452K) : metal5_opc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419452K) : metal5_noqrc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419716K) : metal5_res has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419716K) : metal5_iprobe has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419716K) : metal5_diffprb has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419716K) : radhard_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419716K) : memcap_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419980K) : varicap_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419980K) : flash_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419980K) : intbondvia_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419980K) : intbondmet_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (419980K) : devbondvia_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (420244K) : devbondmet_drw has 0 polygons
