# Logfile created on 2026-07-14 11:04:46 -0400 by logger.rb/61378
2026-07-14 11:04:47 -0400: Memory Usage (420904K) : heattrans_drw has 16 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421168K) : heatres_drw has 3 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421168K) : pempoly_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421168K) : fbe_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421168K) : empoly_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421168K) : ldmos_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421432K) : pbiwind_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421432K) : digisub_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421432K) : nodrc_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421432K) : text_drw has 83 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421432K) : via4_drw has 2 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421752K) : metal5_drw has 4 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421752K) : metal5_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421752K) : metal5_mask has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421752K) : metal5_filler has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (421752K) : metal5_nofill has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422016K) : metal5_slit has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422016K) : metal5_text has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422016K) : metal5_opc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422016K) : metal5_noqrc has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422016K) : metal5_res has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422280K) : metal5_iprobe has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422280K) : metal5_diffprb has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422280K) : radhard_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422280K) : memcap_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422280K) : varicap_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422544K) : flash_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422544K) : intbondvia_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422544K) : intbondmet_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422544K) : devbondvia_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422544K) : devbondmet_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422808K) : devtrench_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422808K) : redist_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422808K) : graphbot_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (422808K) : graphtop_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423072K) : antvia1_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423072K) : antmetal2_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423072K) : graphcont_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423072K) : siwg_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423072K) : siwg_filler has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423336K) : siwg_nofill has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423336K) : sigrating_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423336K) : singrating_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423336K) : graphpas_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423336K) : emwind3_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423600K) : emwihv3_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423600K) : redbulay_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423600K) : smos_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423600K) : graphpad_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423600K) : polimide_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423864K) : polimide_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423864K) : recog_drw has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423864K) : recog_pin has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423864K) : recog_esd has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (423864K) : recog_diode has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (424128K) : recog_tsv has 0 polygons
2026-07-14 11:04:47 -0400: Memory Usage (424128K) : recog_iprobe has 0 polygons
