freq_kHz,power_dB
1.189880973203584063e+02,-1.384925210040316870e+02
1.199879972978403941e+02,-1.397077983978000475e+02
1.209878972753224105e+02,-1.396504916306691939e+02
1.219877972528043983e+02,-1.408313691499962204e+02
1.229876972302864147e+02,-1.417224699926021003e+02
1.239875972077684168e+02,-1.418755260625663936e+02
1.249874971852504189e+02,-1.431478672662275642e+02
1.259873971627324210e+02,-1.444826138223212695e+02
1.269872971402144373e+02,-1.462344694190806536e+02
1.279871971176964252e+02,-1.491974981032711867e+02
1.289870970951784273e+02,-1.692230945526949597e+02
1.299869970726604436e+02,-1.414377602604746755e+02
1.309868970501424315e+02,-1.281459559953856342e+02
1.319867970276244478e+02,-1.073310873280134672e+02
1.329866970051064641e+02,-9.616867212790195651e+01
1.339865969825884520e+02,-9.804781153918688119e+01
1.349864969600704399e+02,-1.155866876682495246e+02
1.359863969375524562e+02,-1.297494503631240264e+02
1.369862969150344725e+02,-1.374571134309776426e+02
1.379861968925164604e+02,-1.419944920071745571e+02
1.389860968699984767e+02,-1.451973966205385977e+02
1.399859968474804646e+02,-1.485586608954785959e+02
1.409858968249624525e+02,-1.506982062788984535e+02
1.419857968024444688e+02,-1.497934232086369093e+02
1.429856967799264851e+02,-1.568363315995812286e+02
1.439855967574085014e+02,-1.562757661295248113e+02
1.449854967348904893e+02,-1.581209542110176756e+02
1.459853967123724772e+02,-1.598335997005448235e+02
1.469852966898544935e+02,-1.724786997971130802e+02
1.479851966673365098e+02,-1.753924504817521779e+02
1.489850966448184977e+02,-1.674654082301480003e+02
1.499849966223005140e+02,-1.619811946081406404e+02
1.509848965997825019e+02,-1.591369970034077426e+02
1.519847965772644898e+02,-1.551045867268857705e+02
1.529846965547465061e+02,-1.534066089388909404e+02
1.539845965322285224e+02,-1.531750900270195928e+02
1.549844965097105387e+02,-1.465189352704157955e+02
1.559843964871925266e+02,-1.502489878934430578e+02
1.569842964646745145e+02,-1.462683723360312911e+02
1.579841964421565308e+02,-1.455709744901908493e+02
1.589840964196385471e+02,-1.435524313680026012e+02
1.599839963971205350e+02,-1.422721930707412810e+02
1.609838963746025513e+02,-1.413669577701001572e+02
1.619837963520845392e+02,-1.397829108755488221e+02
1.629836963295665271e+02,-1.386661744767716016e+02
1.639835963070485434e+02,-1.361553033002366249e+02
1.649834962845305597e+02,-1.372971940841651133e+02
1.659833962620125760e+02,-1.341332854372803638e+02
1.669832962394945639e+02,-1.329521732034458523e+02
1.679831962169765518e+02,-1.316394965636316101e+02
1.689830961944585681e+02,-1.300582076990190785e+02
1.699829961719405844e+02,-1.284640193697928794e+02
1.709828961494225723e+02,-1.268558803422384784e+02
1.719827961269045886e+02,-1.249041680122464300e+02
1.729826961043865765e+02,-1.232000069670497737e+02
1.739825960818685644e+02,-1.210663058158686169e+02
1.749824960593505807e+02,-1.189278919664126164e+02
1.759823960368325970e+02,-1.165584824691276964e+02
1.769822960143146133e+02,-1.139675320837988011e+02
1.779821959917965728e+02,-1.110756146333807521e+02
1.789820959692785891e+02,-1.078446201608265085e+02
1.799819959467606054e+02,-1.041600888231808995e+02
1.809818959242426217e+02,-9.985102900339541065e+01
1.819817959017246096e+02,-9.466945191736940046e+01
1.829816958792066259e+02,-8.814518988573323099e+01
1.839815958566886138e+02,-7.924591242456891393e+01
1.849814958341706017e+02,-6.457807984128271528e+01
1.859813958116526180e+02,-4.613052947473687482e+01
1.869812957891346343e+02,-4.403834129957478183e+01
1.879811957666166506e+02,-5.469750429590146013e+01
1.889810957440986101e+02,-7.501744747860647067e+01
1.899809957215806264e+02,-8.531623106985003346e+01
1.909808956990626427e+02,-9.252407120124362905e+01
1.919807956765446590e+02,-9.811784150083877876e+01
1.929806956540266469e+02,-1.026951215865399831e+02
1.939805956315086632e+02,-1.065716727290946153e+02
1.949804956089906511e+02,-1.099635407381894936e+02
1.959803955864726390e+02,-1.129154388799440056e+02
1.969802955639546553e+02,-1.156023334443393935e+02
1.979801955414366716e+02,-1.180082427007500030e+02
1.989800955189186880e+02,-1.202267186107409316e+02
1.999799954964006474e+02,-1.222735639065415398e+02
2.009798954738826637e+02,-1.241509740393523771e+02
2.019797954513646800e+02,-1.259215163976046057e+02
2.029796954288466679e+02,-1.275185137517324563e+02
2.039795954063286842e+02,-1.290889764435159748e+02
2.049794953838107006e+02,-1.306738364381079123e+02
2.059793953612926884e+02,-1.319185467732312134e+02
2.069792953387746763e+02,-1.333229128680847566e+02
2.079791953162566926e+02,-1.343971762234985476e+02
2.089790952937387090e+02,-1.363816379912186108e+02
2.099789952712207253e+02,-1.364338243520827518e+02
2.109788952487026847e+02,-1.386329018685042627e+02
2.119787952261847011e+02,-1.389112087988453084e+02
2.129786952036667174e+02,-1.406811333463275844e+02
2.139785951811487053e+02,-1.416126641841358378e+02
2.149784951586307216e+02,-1.429685584118383304e+02
2.159783951361127379e+02,-1.438882717964308142e+02
2.169782951135947258e+02,-1.458912468883749227e+02
